CODIGO,PROVINCIA,DISTRITO,UNIDADE SANITÁRIA,CLASSIFICAÇÃO,NÍVEL,TIPO DE US,Tipo,Maternidade,Camas Maternidade,Camas Internamento,Camas Total
1040206,Zambezia,Alto Molocue,CS Alto Molócuè,Centro de Saúde Urbano Tipo B,Nível Primário,Centro de Saúde Urbano,CS,não,0,0,0
1040299,Zambezia,Alto Molocue,CS Bonifacio Groveta,Centro de Saúde Urbano Tipo B,Nível Primário,Centro de Saúde Urbano,CS,não,0,0,0
1040207,Zambezia,Alto Molocue,CS Caiaia,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,2,0,2
1040208,Zambezia,Alto Molocue,CS Chapala,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,4,0,4
1040236,Zambezia,Alto Molocue,CS Cololo,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,3,0,3
1040216,Zambezia,Alto Molocue,CS Ecole,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,2,0,2
1040265,Zambezia,Alto Molocue,CS Malua,Centro de Saúde Rural Tipo 1,Nível Primário,Centro de Saúde Rural,CS,sim,2,0,2
1040211,Zambezia,Alto Molocue,CS Mouia,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,5,0,5
1040212,Zambezia,Alto Molocue,CS Mugema,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,não,0,0,0
1040255,Zambezia,Alto Molocue,CS Mutala,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,2,0,2
1040213,Zambezia,Alto Molocue,CS Nacuaca,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,2,0,2
1040214,Zambezia,Alto Molocue,CS Nauela,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,8,10,18
1040237,Zambezia,Alto Molocue,CS Nivava,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,3,0,3
1040200,Zambezia,Alto Molocue,CS Novanana,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,3,0,3
1040215,Zambezia,Alto Molocue,HD Alto Mulocue,HD - Hospital Distritais,Nível Secundário,Hospital Distrital (Tipo US),HosPital,sim,19,64,83
1040256,Zambezia,Alto Molocue,PS Nimala,Posto de Saúde,Nível Primário,Posto de Saúde (Tipo US),Posto,não,4,0,4
1040210,Zambezia,Alto Molocue,CS Welele,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,,,
1020206,Cabo Delgado,Ancuabe,CS Ancuabe,Centro de Saúde Rural Tipo 1,Nível Primário,Centro de Saúde Rural,CS,sim,11,29,40
1020207,Cabo Delgado,Ancuabe,CS Mariri,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,8,0,8
1020210,Cabo Delgado,Ancuabe,CS Mesa,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,4,0,4
1020209,Cabo Delgado,Ancuabe,CS Metoro,Centro de Saúde Rural Tipo 1,Nível Primário,Centro de Saúde Rural,CS,sim,22,29,51
1020211,Cabo Delgado,Ancuabe,CS Minhewene,Centro de Saúde Rural Tipo 2,Nível Primário,Centro de Saúde Rural,CS,sim,3,0,3
